500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
68	8680.50	15.872	1.15	1.7	27.22	-0.03	0.572	0	0	1.02	1.44	0.3	-1	0	0	-12.46	206.90	
69	8704.15	15.099	2.35	1.95	40.64	0.391	1.836	0	0	2.23	3.09	1.25	-1	0	0	-5.41	230.55	
70	8835.40	29.646	1.95	3.85	119.37	-8.207	0.08	0	0	1.76	4.23	1.65	-1	0	0	-13.48	361.80	
71	8828.20	18.039	1.85	1.15	36.17	-2.478	-2.639	0	0	1.73	2.01	1.65	-1	0	0	-8.33	354.60	
72	8922.95	20.015	2.7	1.35	53.83	-0.642	-1.214	0	0	2.57	2.58	1.7	-1	0	0	-6.24	449.35	
73	8957.60	33.268	2.45	3.65	149.45	-1.605	-1.314	0	0	2.31	5.22	1.9	-1	0	0	-11.54	484.00	
74	9092.55	43.512	2.15	2.9	146.33	-1.174	-1.445	0	0	1.81	3.46	1.65	-1	0	0	-19.23	4.55	
75	9248.35	29.265	3.05	5.7	157.09	-0.572	-1.084	0	0	2.61	5.16	2.1	-1	0	0	-8.95	160.35	
76	9455.25	17.577	1.05	4.6	65.56	-0.602	2.047	0	0	0.91	3.31	0.75	-1	0	0	-15.5	367.25	
77	9402.05	14.618	2.8	1.75	39.7	-0.512	-3.762	0	0	2.27	2.84	1.95	-1	0	0	-5.16	314.05	
78	9558.60	17.296	1.4	3.2	54	1.114	-3.09	0	0	1.26	1.25	0.9	-1	0	0	-11.01	470.60	
79	9869.15	39.569	1.15	12.6	424.53	-1.104	-0.271	0	0	0.9	11.79	0.85	-1	0	0	-35.3	166.75	
80	9873.70	31.181	1.8	5.05	143.9	-15.822	-0.271	0	0	1.34	4.71	0.55	-1	0	0	-18.59	171.30	
81	9953.65	15.982	1.95	2.65	49.53	-3.12	2.287	0	0	1.76	2.89	1.35	-1	0	0	-7.28	251.25	
82	10025.85	14.447	0.6	1.7	21.4	-2.308	-0.833	0	0	0.44	0.6	0.5	-1	0	0	-26.39	323.45	
83	10075.55	19.524	0.95	3.05	48.88	-1.555	-5.919	0	0	0.56	2.44	0.35	-1	0	0	-28.06	373.15	
84	10121.45	14.407	2.85	0.4	28.45	-1.405	-1.946	0	0	2.49	0.28	0.15	-1	0	0	-4.62	419.05	
85	10164.05	20.567	2.7	0.95	52.33	-3.271	-0.682	0	0	2.59	2.92	2.2	-1	0	0	-6.35	461.65	
86	10221.60	17.447	0.75	1.95	25.89	-3.301	2.227	0	0	0.64	0.42	0.1	-1	0	0	-21.75	519.20	
87	10235.65	14.939	3.8	0.65	41.75	-1.475	2.227	0	0	3.71	0.76	0.15	-1	0	0	-3.22	533.25	
88	10253.80	25.222	0.75	1.8	42.34	-2.167	-1.364	0	0	0.6	1.79	0.6	-1	0	0	-33.77	551.40	
89	10332.55	15.972	2.65	5.3	79.49	-3.682	0.07	0	0	2.01	4.65	0.65	-1	0	0	-6.36	15.75	
90	10410.60	14.297	0.9	2.6	32.18	-0.181	-2.227	0	0	0.82	2.14	0.6	-1	0	0	-14.02	93.80	
91	10496.70	29.687	3.1	4.8	157.06	-2.528	2.498	0	0	2.87	6.15	2.1	-1	0	0	-8.27	179.90	
92	10658.10	22.884	1.9	4.6	105.38	-0.02	2.318	0	0	1.78	4.86	1.45	-1	0	0	-10.31	341.30	
93	10711.75	42.268	4.05	3.95	213.1	-1.354	-0.823	0	0	3.81	5.68	2.65	-1	0	0	-8.88	394.95	
94	10801.75	23.838	3.65	3.05	95.7	0.08	3.391	0	0	3.05	5.07	2.5	-1	0	0	-6.25	484.95	
95	10837.80	13.594	1.4	0.15	11.72	-1.816	1.475	0	0	1.3	0.44	0.35	-1	0	0	-8.36	521.00	
96	10881.90	24.771	2.9	2.65	92.82	-1.525	-0.853	0	0	2.48	4.21	2.25	-1	0	0	-7.99	565.10	
97	10911.80	18.942	2.7	3.5	74.55	-0.472	2.669	0	0	2.61	3	0.2	-1	0	0	-5.81	595.00	
98	11004.95	17.096	3.75	1.6	54.37	-9.22	-2.608	0	0	3.29	2.85	2.45	-1	0	0	-4.15	73.75	
99	11111.55	14.868	0.65	2.1	25.85	-4.063	1.154	0	0	0.38	1.46	0.4	-1	0	0	-31.67	180.35	
100	11117.15	20.557	0.95	4.3	72.92	-3.13	1.154	0	0	0.81	4.78	0.65	-1	0	0	-20.21	185.95	
101	11178.70	24.279	2.1	4.95	110.32	-1.515	0.652	0	0	1.95	4.35	1.2	-1	0	0	-9.97	247.50	
102	11522.20	37.291	2.85	4.65	191.68	-0.11	-0.211	0	0	2.43	5.2	2.4	-1	0	0	-12.29	591.00	
103	11632.75	13.263	1.45	1.65	22.71	-0.441	0.191	0	0	1.15	0.52	0.15	-1	0	0	-9.26	87.15	
104	11841.05	12.35	2.25	1.15	25.72	0.15	-0.08	0	0	2.15	0.37	0.25	-1	0	0	-4.59	295.45	
105	11852.85	28.232	2.2	3.3	100.29	2.117	-0.08	0	0	2.08	4.1	1.5	-1	0	0	-10.87	307.25	
106	12084.65	10.033	1.9	1.5	25.21	-0.1	-2.047	0	0	1.85	1.92	1.5	-1	0	0	-4.34	539.05	
107	12114.35	26.466	2.8	12.75	446.24	-1.395	-2.468	0	0	2.68	3.55	2.45	-1	0	0	-7.91	568.75	
108	12118.40	57.447	1.9	4.2	251.78	-5.066	-2.468	0	0	1.49	5.03	1.35	-1	0	0	-30.79	572.80	
109	12184.30	27.55	3.3	6.2	161.45	0.843	0.823	0	0	2.85	5.85	1.4	-1	0	0	-7.74	24.30	
110	12527.95	51.989	1.95	6.45	284.61	-8.558	1.385	0	0	1.8	4.66	1.6	-1	0	0	-23.11	367.95	
111	12651.80	12.591	1.75	1.4	24.19	-1.154	-5.448	0	0	1.68	0.57	0.4	-1	0	0	-6	491.80	
112	12793.05	23.316	2.35	4.3	107.47	1.174	3.291	0	0	2.13	4.2	1.75	-1	0	0	-8.75	18.65	
113	13264.95	13.384	2.4	1.9	36.98	-1.645	1.635	0	0	1.85	0.7	0.15	-1	0	0	-5.8	490.55	
114	13465.20	21.209	2.7	4.55	106.01	-0.522	-1.525	0	0	2.33	4.69	1.7	-1	0	0	-7.28	76.40	
115	13479.35	15.862	1.15	2.7	39.03	0.973	-1.525	0	0	1.07	2.41	0.6	-1	0	0	-11.81	90.55	
116	13508.95	22.844	3.25	6.1	127.14	-0.01	-2.408	0	0	2.79	4	1.15	-1	0	0	-6.56	120.15	
117	13706.80	26.255	2.5	4.35	117.63	-0.311	-3.582	0	0	2.34	5.53	1.5	-1	0	0	-8.96	318.00	
118	14204.35	21.049	0.85	1.4	31.28	-2.518	-2.117	0	0	0.73	1.91	0.65	-1	0	0	-22.92	201.15	
119	14277.30	15.641	1.8	1.3	26	0.161	-0.943	0	0	1.74	0.74	0.15	-1	0	0	-7.21	274.10	
120	15002.70	21.721	3.95	3.25	80.58	1.324	3.501	0	0	2.96	2.16	1.6	-1	0	0	-5.87	385.10	
121	15184.45	27.229	4.05	4.45	140.75	2.077	0.582	0	0	3.22	5.24	2.2	-1	0	0	-6.76	566.85	
122	15285.65	35.967	1.45	11.45	376.67	1.946	-1.475	0	0	1.06	4.51	1.1	-1	0	0	-27.11	53.65	
123	15290.90	17.617	1.2	1.5	31.81	-31.583	2.498	0	0	1.05	1.94	0.95	-1	0	0	-13.38	58.90	
124	15414.75	30.539	3.05	5.5	166.88	-0.311	0.231	0	0	2.65	5.75	2.25	-1	0	0	-9.23	182.75	
125	15433.20	14.447	1.8	3.55	45.24	-2.117	-4.796	0	0	1.69	1.67	0.8	-1	0	0	-6.85	201.20	
126	15596.15	18.902	2	2.4	48.82	-0.722	1.726	0	0	1.87	1.49	0.35	-1	0	0	-8.08	364.15	
127	15664.20	20.657	1.3	3.2	57.77	-0.903	-0.11	0	0	1.22	2.4	1	-1	0	0	-13.52	432.20	
128	15812.50	14.096	2.6	2.15	40.85	0.853	0.02	0	0	2.46	2.73	1.65	-1	0	0	-4.58	580.50	
129	16086.55	34.091	3.1	4.35	160.04	-0.181	0.582	0	0	2.73	4.84	2	-1	0	0	-9.98	240.15	
130	16175.75	22.182	1.7	3.1	65.41	-0.351	-1.976	0	0	1.57	2	0.8	-1	0	0	-11.32	329.35	
131	16200.95	16.082	2.15	4.3	68.03	-0.411	-0.913	0	0	1.7	4.65	1.45	-1	0	0	-7.58	354.55	
132	16384.60	49.19	2.05	4.9	233.73	-2.789	-1.465	0	0	1.82	5.86	1.65	-1	0	0	-21.64	538.20	
133	16544.80	21.339	4.65	4.15	87.91	2.709	-2.398	0	0	1.48	3.62	0.65	-1	0	0	-11.51	84.00	
134	16583.90	18.039	1.65	3.35	57.78	-0.251	-1.425	0	0	1.09	3.77	0.7	-1	0	0	-13.26	123.10	
135	16606.75	17.798	1.4	2.65	46.75	3.843	-1.425	0	0	0.95	2.35	0.85	-1	0	0	-15.01	145.95	
136	16619.60	26.145	2.3	6.05	129.96	3.241	-1.425	0	0	2.15	3.99	1.4	-1	0	0	-9.75	158.80	
137	16661.40	12.19	3.4	0.8	26.97	-0.562	-2.368	0	0	1.65	0.33	0.25	-1	0	0	-5.9	200.60	
138	16861.50	14.778	2.35	0.9	27.64	0.742	1.304	0	0	2.26	1.64	1.5	-1	0	0	-5.23	400.70	
139	17156.90	31.924	2.95	3.1	128.18	0.1	0.321	0	0	2.65	4.88	2.15	-1	0	0	-9.64	81.70	
140	17232.15	17.617	1.55	2.85	46.17	-0.482	0.973	0	0	1.4	2.13	0.9	-1	0	0	-10.08	156.95	
141	17260.35	15.28	1.7	0.25	16.73	-0.401	0.752	0	0	1.56	0.43	0.3	-1	0	0	-7.81	185.15	
142	17606.35	11.618	1.55	0.2	11.51	-1.756	1.445	0	0	1.5	0.19	0.1	-1	0	0	-6.21	531.15	
143	17647.80	37.974	1.35	3.6	121.08	-2.769	-1.425	0	0	1.14	3.41	1.05	-1	0	0	-26.68	572.60	
144	17752.40	28.192	3.15	3.2	118.88	-0.642	2.528	0	0	3	4.84	2.5	-1	0	0	-7.52	62.80	
145	17776.95	14.427	2.6	3.6	57.34	0.14	1.545	0	0	2.49	3.52	2.15	-1	0	0	-4.63	87.35	
146	17856.35	9.792	3.85	0.95	29.46	-3.07	0.261	0	0	3.79	0.28	0.15	-1	0	0	-2.06	166.75	
147	17953.95	13.213	2.55	0.25	24.19	-1.284	-1.334	0	0	2.45	2.18	2.05	-1	0	0	-4.32	264.35	
