0	2.5	-5.625	-10.625	-18.125	-19.375	-20.625	-23.125	-29.375	-28.125	-72.5	-27.5	-31.25	-30	-26.875	-33.75	-28.75	-30.625
-3.75	0.625	-3.75	-8.75	-19.375	-18.125	-20	-25	-29.375	-24.375	-70.625	-28.125	-32.5	-30.625	-29.375	-30.625	-30	-30
0	0.625	-3.125	-8.125	-13.125	-18.75	-19.375	-24.375	-30	-28.125	-71.875	-28.125	-30.625	-28.75	-30	-29.375	-30	-31.25
2.5	-3.125	-3.125	-10	-15.625	-20	-19.375	-20.625	-26.25	-28.125	-75.625	-28.75	-31.875	-23.75	-28.125	-29.375	-30	-30.625
1.25	-1.25	-6.875	-11.875	-20	-15.625	-21.875	-21.875	-30	-28.75	-78.125	-30	-30.625	-27.5	-31.875	-30	-30.625	-27.5
-1.875	-1.875	-8.125	-13.75	-19.375	-12.5	-21.875	-21.25	-30	-30.625	-73.75	-28.125	-28.75	-30.625	-33.125	-27.5	-31.25	-29.375
0	-3.75	-8.75	-13.125	-15.625	-16.25	-20	-24.375	-30.625	-33.125	-75	-25.625	-29.375	-30	-29.375	-24.375	-30.625	-31.25
1.25	-2.5	-6.25	-10.625	-13.75	-20	-23.75	-23.125	-30	-30	-75.625	-30	-30.625	-30.625	-32.5	-25	-30	-28.75
0	-1.25	-3.75	-4.375	-16.25	-21.25	-22.5	-23.75	-28.125	-28.75	-73.125	-28.125	-30	-26.25	-36.875	-27.5	-33.75	-28.75
-2.5	-3.125	-2.5	-6.875	-16.875	-18.75	-24.375	-21.25	-28.75	-28.75	-75.625	-29.375	-26.875	-25.625	-35.625	-25.625	-36.875	-31.875
-1.25	-4.375	-1.875	-8.125	-19.375	-20	-21.875	-23.125	-28.125	-28.75	-76.25	-29.375	-28.75	-26.25	-33.125	-26.875	-35	-30.625
0.625	-5.625	-3.125	-9.375	-21.25	-21.25	-18.75	-23.75	-27.5	-26.25	-76.25	-27.5	-32.5	-28.125	-30	-29.375	-33.75	-29.375
0.625	-4.375	-5.625	-11.25	-18.125	-20.625	-21.25	-23.75	-26.875	-28.125	-77.5	-29.375	-36.875	-26.875	-27.5	-30	-35	-31.875
-1.875	0.625	-5.625	-10.625	-19.375	-18.125	-20	-23.125	-30	-31.875	-81.875	-28.75	-33.75	-28.125	-25.625	-30.625	-33.125	-32.5
-1.875	-0.625	-6.25	-12.5	-19.375	-20	-20	-24.375	-30	-30.625	-80.625	-26.25	-26.875	-30.625	-30	-25.625	-33.125	-33.125
-1.25	-3.75	-12.5	-16.875	-17.5	-17.5	-20.625	-26.25	-28.75	-28.125	-81.875	-29.375	-30	-31.875	-28.125	-24.375	-32.5	-30.625
5.625	0	-10	-13.125	-16.875	-15.625	-20	-27.5	-28.75	-30	-80.625	-28.75	-31.875	-30	-26.875	-25.625	-31.875	-32.5
3.75	0	-10	-10.625	-16.875	-16.875	-23.75	-28.125	-29.375	-28.75	-81.875	-27.5	-32.5	-29.375	-28.75	-27.5	-32.5	-32.5
3.75	0	-9.375	-10.625	-20.625	-15.625	-21.25	-23.75	-30.625	-29.375	-78.75	-27.5	-31.25	-26.25	-30	-28.125	-30	-31.875
1.25	-5	-8.75	-14.375	-16.875	-20	-20	-19.375	-31.875	-30	-77.5	-27.5	-29.375	-28.125	-31.25	-28.75	-26.875	-30
-4.375	-1.25	-5	-15	-15.625	-20	-19.375	-20	-32.5	-27.5	-77.5	-25.625	-30.625	-28.75	-30.625	-30	-31.25	-31.25
-3.125	1.25	-1.25	-10.625	-16.25	-18.125	-23.125	-21.875	-32.5	-26.875	-79.375	-26.25	-30	-28.75	-29.375	-28.125	-34.375	-33.125
-1.25	1.875	-1.25	-13.125	-17.5	-15.625	-21.25	-22.5	-30	-23.75	-78.75	-26.25	-26.25	-25	-25.625	-28.75	-33.125	-32.5
-3.75	0.625	-7.5	-10	-17.5	-17.5	-18.125	-22.5	-28.125	-28.125	-76.875	-25	-28.125	-26.875	-30.625	-23.125	-30	-33.125
-1.875	-0.625	-7.5	-8.75	-13.75	-20.625	-21.875	-21.875	-25	-31.875	-80	-27.5	-30	-30	-33.75	-28.125	-28.75	-31.875
3.75	-3.125	-4.375	-11.25	-10	-16.875	-21.875	-21.875	-27.5	-30.625	-81.25	-29.375	-31.875	-28.75	-34.375	-28.75	-30	-30.625
1.875	-3.125	-1.25	-8.125	-14.375	-19.375	-20	-20	-31.875	-30.625	-80	-23.125	-30.625	-30.625	-33.75	-23.75	-32.5	-28.125
0.625	-1.875	-2.5	-6.875	-16.25	-21.25	-18.125	-23.125	-28.75	-31.875	-78.125	-26.875	-26.25	-30.625	-35.625	-21.875	-33.125	-30.625
-3.125	2.5	-4.375	-10	-11.25	-23.75	-20	-21.875	-30	-28.125	-77.5	-30	-28.75	-31.25	-31.875	-28.75	-36.875	-35
