500	Time (ms)	Amplitude	Rise (ms)	Decay (ms)	Area	Baseline	Noise	Group	Channel	10-90Rise	HalfWidth	Rise50	Peak Dir	Burst#	BurstE#	10-90Slope	Rel Time	
98	66069.35	12.634	2.95	3.3	48.22	-11.597	-1.892	0	0	2.86	2.18	1.7	-1	0	0	-3.54	328.55	
99	66283.05	27.771	2.15	5.45	136.69	-10.376	0	0	0	2.01	5.59	1.75	-1	0	0	-11.05	542.25	
100	67983.05	15.259	1.9	5.4	72.6	-9.521	1.221	0	0	1.77	4.4	1.25	-1	0	0	-6.88	399.05	
101	70164.25	11.963	1.2	4.35	40.2	-10.071	-1.526	0	0	1.07	2.45	0.3	-1	0	0	-8.94	122.65	
102	70855.20	18.494	3.2	4.55	88.85	-9.644	-0.977	0	0	3.07	3.98	2.5	-1	0	0	-4.82	199.20	
103	71212.85	17.151	2.35	6.4	90.17	-10.437	-0.183	0	0	2.17	3.53	0.25	-1	0	0	-6.31	556.85	
104	71662.15	15.381	1.3	2.25	35.83	-10.193	0.122	0	0	0.97	2.36	1	-1	0	0	-12.62	391.75	
105	72120.10	11.658	2.8	2.85	40.29	-11.963	-1.221	0	0	2.69	1.67	1.35	-1	0	0	-3.47	235.30	
106	72648.80	25.635	2.75	3.75	100.6	-11.414	0.977	0	0	2.52	3.53	1.65	-1	0	0	-8.13	149.60	
107	73620.50	25.452	1.2	4.95	93.92	-10.071	-3.601	0	0	0.92	4.17	0.75	-1	0	0	-22.1	506.90	
108	74198.10	17.212	3.2	4.9	90.37	-12.085	-1.77	0	0	2.62	4.61	2.1	-1	0	0	-5.25	470.10	
109	74236.65	11.414	3.2	4.9	58.73	-11.047	-0.488	0	0	3.05	4.92	1.85	-1	0	0	-2.99	508.65	
110	74344.55	33.569	2.25	6.3	195.88	-10.681	0.732	0	0	1.91	6.56	1.75	-1	0	0	-14.08	2.15	
111	74532.20	17.273	1.15	2.1	36.44	-10.62	-2.93	0	0	0.81	2.72	0.75	-1	0	0	-16.98	189.80	
112	74595.25	23.926	2.2	6.05	125.42	-11.841	0.244	0	0	1.79	6.04	1.45	-1	0	0	-10.67	252.85	
113	74734.05	21.118	3.25	5.2	118.82	-9.888	-0.183	0	0	2.84	6.62	2.15	-1	0	0	-5.95	391.65	
114	75838.65	10.742	4.5	2.5	48.14	-12.634	0.671	0	0	4.35	3.74	3.4	-1	0	0	-1.97	267.45	
115	76818.85	12.146	0.9	2.8	27.92	-9.705	-0.183	0	0	0.81	0.91	0.6	-1	0	0	-12.02	18.85	
116	78107.45	22.949	1.15	4.5	89.87	-11.353	1.343	0	0	0.76	3.71	0.75	-1	0	0	-24.21	78.65	
117	78777.50	15.869	3.15	3.3	65.66	-13.672	-1.038	0	0	2.95	3.56	0.7	-1	0	0	-4.31	134.30	
118	79152.95	17.334	1.55	3.3	52.2	-12.451	0	0	0	1.39	2.93	1.05	-1	0	0	-9.96	509.75	
119	79389.00	15.564	4.2	1.9	53.41	-17.09	-0.793	0	0	3.52	2.31	0.55	-1	0	0	-3.54	131.40	
120	79820.60	13.428	2.1	2.05	33.7	-11.597	1.404	0	0	1.68	1.6	1.25	-1	0	0	-6.39	563.00	
121	81197.40	17.761	2.65	4	70.27	-17.517	0.793	0	0	2.15	3.95	1.3	-1	0	0	-6.62	96.60	
122	81749.75	12.512	2.8	2.55	45.27	-18.005	-0.122	0	0	2.7	4.22	2.3	-1	0	0	-3.71	34.55	
123	81806.35	20.63	2.35	4.5	88.97	-15.259	-0.183	0	0	2.1	4.8	1.25	-1	0	0	-7.85	91.15	
124	81824.75	49.5	1.35	5.7	237.96	-19.165	0.549	0	0	1.19	5.13	1.15	-1	0	0	-33.15	109.55	
125	81947.70	15.503	1.85	5.25	78.84	-16.418	-0.793	0	0	1.71	5.27	1.6	-1	0	0	-7.27	232.50	
126	83113.40	38.391	3.3	7.85	268.53	-13.611	-1.099	0	0	2.89	6.97	2.1	-1	0	0	-10.64	169.40	
127	84934.90	23.376	2.3	1.55	61.47	-14.526	0.183	0	0	2.12	3.17	2	-1	0	0	-8.81	147.70	
128	85621.50	17.212	3.15	4.2	84.67	-16.418	-0.61	0	0	3.05	5.69	2.65	-1	0	0	-4.51	219.90	
129	85979.70	9.705	2.95	1.3	22.83	-13.123	0.854	0	0	2.53	1.88	0.65	-1	0	0	-3.07	578.10	
130	87537.30	24.719	1.15	4.15	79.29	-13.611	1.038	0	0	0.97	2.74	0.65	-1	0	0	-20.45	292.50	
131	88719.20	16.357	2.15	5.3	74.65	-18.555	0.305	0	0	1.72	4.58	1.15	-1	0	0	-7.61	245.60	
132	89229.30	12.634	3.1	3.3	46.73	-13.062	-2.197	0	0	2.98	3.18	2.2	-1	0	0	-3.39	141.30	
133	91135.05	19.714	2.85	4.55	94.91	-11.169	0.61	0	0	2.7	5.5	2.35	-1	0	0	-5.84	203.85	
134	91733.25	11.78	3.45	3.75	50.27	-11.23	0.977	0	0	3.07	2.14	0.85	-1	0	0	-3.07	187.65	
135	92180.35	17.639	0.95	4.35	64.62	-13.794	-2.808	0	0	0.8	4.1	0.7	-1	0	0	-17.71	20.35	
136	92301.05	14.832	4.05	5.05	82.64	-15.137	-1.77	0	0	3.91	2.46	1.05	-1	0	0	-3.03	141.05	
137	92517.65	22.034	2.6	5.25	103.62	-13.611	-0.549	0	0	2.15	4.43	1.8	-1	0	0	-8.19	357.65	
138	92997.75	19.348	1	6.05	79.56	-12.573	0.488	0	0	0.83	2.72	0.5	-1	0	0	-18.63	223.35	
139	93683.85	10.559	3.05	1	23.61	-22.705	0.854	0	0	2.92	1.28	0.4	-1	0	0	-2.89	295.05	
140	93754.40	14.709	2.1	3.4	53.8	-12.939	1.16	0	0	1.98	2.97	1.5	-1	0	0	-5.93	365.60	
141	94487.15	18.738	2.3	2.8	65.39	-17.7	-0.549	0	0	2.2	4.1	2	-1	0	0	-6.82	483.95	
142	94790.50	10.986	4.4	1.8	44.33	-15.869	-2.197	0	0	4.3	0.26	0.15	-1	0	0	-2.05	172.90	
143	96130.55	13.794	1.85	1.6	31.52	-12.39	1.404	0	0	1.67	2.51	1.35	-1	0	0	-6.62	284.15	
144	96679.90	15.808	2.35	3.15	52.89	-16.602	-0.916	0	0	2.02	3.31	1.2	-1	0	0	-6.25	219.10	
145	98060.40	20.325	0.85	3.2	55.65	-16.113	0.122	0	0	0.6	2.99	0.4	-1	0	0	-27.02	370.80	
146	98850.75	13.306	4.2	3.45	63.98	-15.93	0.854	0	0	4.08	3.53	1.95	-1	0	0	-2.61	546.75	
147	98958.35	13.672	3.95	1.8	48.02	-23.438	1.343	0	0	3.8	0.73	0.35	-1	0	0	-2.88	39.95	
148	99837.65	13.55	2.05	3	46.1	-13.794	1.221	0	0	1.88	3.71	1.65	-1	0	0	-5.78	304.85	
149	100471.20	10.864	1.95	1.6	21.76	-12.756	2.197	0	0	1.61	1.27	0.95	-1	0	0	-5.39	324.00	
150	100842.40	36.621	4.15	6.8	269.53	-13.245	1.892	0	0	3.71	7.45	3.2	-1	0	0	-7.9	80.75	
151	101221.40	21.973	2.55	5.5	113.81	-15.137	-0.977	0	0	2.3	6.4	1.75	-1	0	0	-7.64	459.75	
152	101570.30	11.719	3.05	1.7	33.42	-14.221	1.282	0	0	2.93	1.05	0.7	-1	0	0	-3.2	194.25	
153	102665.50	14.343	0.45	3.4	33.63	-13.55	-0.183	0	0	0.35	0.94	0.25	-1	0	0	-33.22	60.70	
154	103903.10	15.442	2.15	4.85	64.9	-15.503	-1.953	0	0	2.04	4.25	1.5	-1	0	0	-6.06	69.50	
155	104306.60	9.399	1.45	1	13.66	-15.808	-1.953	0	0	1.33	1.47	0.8	-1	0	0	-5.66	473.00	
156	104851.30	22.705	2.4	5.2	114.49	-14.282	-1.648	0	0	2.04	5.95	1.55	-1	0	0	-8.92	403.30	
157	104572.90	12.817	4.6	1.9	47.25	-12.939	0	0	0	4.14	3.15	2.05	-1	0	0	-2.48	124.90	
158	105973.40	14.465	1.9	2.65	40.59	-13	1.77	0	0	1.36	2.71	0.9	-1	0	0	-8.53	296.55	
159	106257.80	12.024	2.05	3.45	39.21	-14.709	2.625	0	0	1.88	1.67	1.35	-1	0	0	-5.11	580.95	
160	106606.80	19.836	3.5	5.55	112.23	-14.099	-2.686	0	0	2.84	5.85	2	-1	0	0	-5.58	315.55	
161	107968.50	23.193	1.75	4.1	95.62	-11.597	0.244	0	0	1.01	4.11	1.25	-1	0	0	-18.37	448.55	
162	108144.50	32.654	2.9	6.6	196.9	-13.428	0.549	0	0	2.57	6.24	1.9	-1	0	0	-10.17	10.05	
163	109308.50	13	1.35	2.45	28.56	-13.916	1.526	0	0	1.02	1.41	0.85	-1	0	0	-10.21	559.75	
164	109905.50	9.583	1.95	1.5	16.98	-11.658	-0.427	0	0	1.41	0.44	0.15	-1	0	0	-5.42	542.30	
165	109999.00	10.986	1.4	3.4	32.49	-11.597	-1.709	0	0	1.33	1.28	0.15	-1	0	0	-6.61	21.40	
166	110639.20	13.123	1.5	2.3	32.22	-11.719	-1.526	0	0	1.36	2.97	0.8	-1	0	0	-7.75	47.20	
167	110726.10	10.193	2.95	0.9	24.32	-15.198	-2.991	0	0	2.86	0.45	0.35	-1	0	0	-2.85	134.10	
168	110928.30	12.451	1.55	3.5	43.44	-12.573	-0.122	0	0	1.44	3.79	1.25	-1	0	0	-6.93	336.25	
169	111188.50	9.155	1.9	0.5	13.37	-16.663	2.319	0	0	1.83	0.81	0.4	-1	0	0	-4.01	596.55	
170	112288.30	12.756	2.8	3.1	48.21	-10.254	0.916	0	0	2.72	3.59	2.65	-1	0	0	-3.76	467.50	
171	111859.00	9.827	0.65	1.6	14.25	-13.184	0.793	0	0	0.52	1.56	0.25	-1	0	0	-15.14	38.20	
172	112684.50	27.893	3.8	7	191.91	-8.972	-2.136	0	0	3.51	6.82	3	-1	0	0	-6.36	249.25	
173	113764.00	10.742	0.5	2.85	23.68	-11.108	0.305	0	0	0.4	0.23	0.15	-1	0	0	-21.42	100.05	
174	114186.80	10.071	3	5.75	56.44	-10.742	1.099	0	0	2.41	2.94	1.15	-1	0	0	-3.35	522.80	
175	114782.30	14.16	1.7	1.3	26.81	-10.864	-1.953	0	0	1.62	1.64	0.4	-1	0	0	-7	503.85	
176	114999.80	19.531	1.05	6.05	94.08	-9.216	-0.732	0	0	0.74	5.43	0.7	-1	0	0	-21.02	106.95	
177	115232.40	13	3.4	5.6	76.94	-10.254	0.366	0	0	2.86	4.74	2.4	-1	0	0	-3.64	339.55	
178	115509.00	14.587	1.85	3	40.55	-13.123	1.282	0	0	1.65	1.44	1.05	-1	0	0	-7.08	1.85	
179	116436.00	6.653	0.85	2.45	12.75	-14.221	-0.305	0	0	0.75	0.47	0.15	-1	0	0	-7.07	327.25	
180	116596.60	13.916	1.95	3.7	47.44	-12.39	3.235	0	0	1.87	1.75	1.6	-1	0	0	-5.95	487.85	
181	117043.40	13.306	1.1	1.1	16.49	-14.404	-2.136	0	0	1	0.83	0.5	-1	0	0	-10.64	320.15	
182	117763.00	13.123	1	2.1	23.71	-14.282	1.587	0	0	0.72	0.69	0.5	-1	0	0	-14.55	425.35	
183	117376.00	11.719	4.65	0.85	39.5	-12.756	0.732	0	0	4.55	3.87	3.7	-1	0	0	-2.06	38.45	
184	120168.80	13.123	0.65	4.5	39.52	-11.78	-0.122	0	0	0.51	1.39	0.4	-1	0	0	-20.48	373.60	
185	121005.60	9.583	3.9	0.15	22.32	-11.536	-2.258	0	0	3.1	0.24	0.15	-1	0	0	-2.47	596.00	
186	121539.80	32.41	1.9	5.25	156.8	-16.174	1.343	0	0	1.71	5.52	1.45	-1	0	0	-15.16	515.75	
187	122483.50	13.428	0.45	3.7	46.11	-14.771	1.953	0	0	0.33	3.7	0.35	-1	0	0	-32.34	230.65	
188	122283.80	13.55	1.85	3.35	42.7	-10.925	-2.075	0	0	1.75	3.15	1.2	-1	0	0	-6.2	31.00	
189	122895.50	23.621	1.75	4.05	86.12	-13.367	-1.465	0	0	1.49	3.01	1.05	-1	0	0	-12.72	28.30	
